imdb_id,revenue
tt2091935,607595
tt0107985,56500758
tt0800080,264770996
tt1587729,20967660
tt1638353,654587
tt1985019,2313509
tt0245574,33616692
tt0455612,63368939
tt2207050,59874
tt2049543,4505
tt0343818,353133898
tt0017136,1349711
tt0052572,134241
tt0118789,2375097
tt0050083,955
tt4044364,3780692
tt0107146,602329
tt0092925,66673516
tt0378947,3826280
tt2318092,34718173
tt0087332,296187079
tt0091445,8200000
tt2103264,3346265
tt1602476,64398
tt0101669,38016380
tt0097527,1738897
tt0105219,14356479
tt1762399,36076121
tt0093793,21589395
tt0093773,98268458
tt0081974,40716963
tt0386588,371594210
tt1132449,20998
tt0271263,23833131
tt0285441,5204281
tt1263670,47405566
tt2055765,320013
tt0891592,8742261
tt0114781,50024083
tt0363589,1266955
tt1441395,5735963
tt3062976,5967516
tt1174730,7878856
tt1571222,5704709
tt0333766,35825316
tt0096895,411508343
tt0106868,12890752
tt3480886,47258
tt1703957,7435006
tt0109686,247275374
tt0098213,7706368
tt1674775,22826
tt1194603,160829
tt0106246,36733909
tt0094020,225358
tt0073802,27476252
tt1305806,6391436
tt0099077,52096475
tt1100089,19206513
tt1227165,261127
tt3086442,2193474
tt0860907,60648662
tt1596365,54333290
tt0110622,51132598
tt1588337,43803417
tt0103759,2038916
tt0437777,11483669
tt0360016,30142
tt0814314,69951824
tt0211443,17077882
tt0074483,46236000
tt0398375,88933562
tt0101587,179033791
tt1527788,528175
tt0410764,66453
tt3631112,75395035
tt0082495,25533818
tt3442006,2433850
tt1776196,7621364
tt3076658,173567581
tt1075747,10903312
tt0109529,66229
tt1440292,467602
tt0462335,4289074
tt0164184,193921372
tt0116583,325338851
tt0105017,2280148
tt2537176,809
tt2169322,84112033
tt0088385,21058033
tt0970468,16724933
tt1183911,1673840
tt0096256,13008928
tt0435651,66980456
tt1715336,4288
tt0418460,91998
tt0371746,585796247
tt0104503,256249
tt0308644,51680613
tt1727776,3703046
tt0319769,9832663
tt1369706,5343820
tt0120755,546388108
tt2457282,375627
tt2119532,67209615
tt0057012,9443876
tt0332712,18490423
tt0105812,90753806
tt0102370,29012935
tt1714206,6918591
tt0479997,91627228
tt0119925,17626234
tt0287978,179179718
tt2002718,8008161
tt0107507,11330911
tt0049261,32855818
tt0119304,10493366
tt1549572,1938783
tt2461520,167085
tt0462579,83354
tt1297919,11895069
tt1657510,1362018
tt2231138,6420
tt3410834,66184051
tt0082138,9566593
tt0090768,7177431
tt0088936,20345361
tt1726589,48041
tt0110944,305070
tt0087968,6045647
tt3322364,48623572
tt0100140,35419397
tt0120623,363258859
tt0118750,20050376
tt0113627,32029928
tt0093870,53424681
tt0047413,1400000
tt0469623,8591255
tt1772240,26236153
tt0103112,15073942
tt0315983,16763804
tt1786751,40400
tt1324999,712205856
tt1224378,38885962
tt0403537,1691706
tt3893620,476015
tt1787816,122961
tt1621444,2210382
tt0093822,29180280
tt1172957,60630
tt1116184,171685792
tt0257516,29621722
tt1031280,522497
tt1532958,8888355
tt0870984,7413863
tt0120762,304320254
tt0118566,2465960
tt4981966,336771
tt0238112,62112895
tt0065126,276418
